,potential_et,precipitation,reference_et,season,uncor_potential_et,month,year,uncor_precipitation
1950-05-04,0.6870645108332748,0.0,16094.284,3,14.916667,5,1950,0.016666668
1950-05-05,0.44934728303560667,0.016520101577043533,20621.434,3,9.216668,5,1950,0.116666675
1950-05-06,0.8948934073582646,0.0,37412.668,3,19.900002,5,1950,0.0
1950-05-07,0.873345866075865,0.0,44575.652,3,19.383333,5,1950,0.0
1950-05-08,0.8281657351614303,0.0,36574.035,3,18.300001,5,1950,0.0
1950-05-09,0.6745529877792056,0.0,29625.666,3,14.616665,5,1950,0.0
1950-05-10,0.48549143549449336,0.0,19222.299,3,10.083335,5,1950,0.016666668
1950-05-11,0.44934724326282416,0.0,22459.932,3,9.216667,5,1950,0.0
1950-05-12,0.5619501552937973,0.0,31514.768,3,11.916667,5,1950,0.0
1950-05-13,0.42293417817918966,0.0,31847.447,3,8.583333,5,1950,0.0
1950-05-14,0.3853999073128507,0.0,21703.783,3,7.683334,5,1950,0.06666667
1950-05-15,0.2408232775909126,1.3724913597106934,17147.416,3,4.216666,5,1950,2.6666667
1950-05-16,0.2297020121490344,2.568936347961426,11744.617,3,3.9499998,5,1950,4.916666
1950-05-17,0.2366528229365995,0.557136058807373,4078.1667,3,4.116667,5,1950,1.1333333
1950-05-18,0.6272876494240056,1.6560931205749512,7659.733,3,13.483334,5,1950,3.2
1950-05-19,0.3999965781485114,5.440404891967773,3981.0,3,8.033334,5,1950,10.316667
1950-05-20,0.26515109546099935,0.0,17874.35,3,4.8,5,1950,0.0
1950-05-21,0.25681014637959065,0.0,23206.633,3,4.6000004,5,1950,0.0
1950-05-22,0.2213610630676257,0.0,26949.867,3,3.75,5,1950,0.0
1950-05-23,0.22970202209223,0.5925863981246948,16398.201,3,3.95,5,1950,1.2000002
1950-05-24,0.0684435175118393,2.116945743560791,510.78333,3,0.083333336,5,1950,4.066666
1950-05-25,0.22900694300211255,12.113910675048828,5953.717,3,3.9333334,5,1950,22.866667
1950-05-26,0.14420719954743277,1.4699792861938477,19437.516,3,1.8999997,5,1950,2.8499997
1950-05-27,0.14281705628199137,4.775712966918945,14581.95,3,1.8666668,5,1950,9.066667
1950-05-28,0.5682059367072232,0.2469465732574463,26804.197,3,12.0666685,5,1950,0.55
1950-05-29,0.3881803032188852,0.0,13757.617,3,7.7500024,5,1950,0.016666668
1950-05-30,0.2950395261656339,0.41533514857292175,12272.883,3,5.516667,5,1950,0.8666666
1950-05-31,0.442396432475259,0.15832100808620453,27340.334,3,9.05,5,1950,0.38333333
1950-06-01,0.23467524893828362,0.8761882185935974,19246.232,4,10.633334,6,1950,1.7333335
1950-06-02,0.051869259316693506,0.0,28350.15,4,6.2500005,6,1950,0.033333335
1950-06-03,0.21173760913482287,0.13173334300518036,33455.53,4,10.083334,6,1950,0.33333334
1950-06-04,0.22216384520256183,0.2026338130235672,45534.78,4,10.333335,6,1950,0.4666667
1950-06-05,0.08453802626818885,0.33557215332984924,22163.115,4,7.0333343,6,1950,0.7166667
1950-06-06,0.09635440062977141,1.8422069549560547,23152.932,4,7.316668,6,1950,3.5500002
1950-06-07,0.14848540199094484,1.4256665706634521,18844.133,4,8.5666685,6,1950,2.7666664
1950-06-08,0.04700373551545867,0.0,18654.916,4,6.1333346,6,1950,0.0
1950-06-09,0.058820070104258604,0.0,36424.418,4,6.4166675,6,1950,0.0
1950-06-10,0.06229545561164995,0.548273503780365,35940.72,4,6.5000005,6,1950,1.1166667
1950-06-11,0.0,1.301590919494629,19206.053,4,3.7666671,6,1950,2.5333335
1950-06-12,0.0,0.0,21283.783,4,4.683334,6,1950,0.0
1950-06-13,0.1130362789061975,0.0,18929.635,4,7.716667,6,1950,0.0
1950-06-14,0.0,0.02538266032934189,13993.8,4,3.4000003,6,1950,0.13333334
1950-06-15,0.0,1.8422064781188965,19168.717,4,4.766667,6,1950,3.5499992
1950-06-16,0.0,0.0,13546.184,4,3.0666666,6,1950,0.0
1950-06-17,0.0,0.0,20977.951,4,4.3833337,6,1950,0.0
1950-06-18,0.0,0.0,23061.834,4,4.9,6,1950,0.0
1950-06-19,0.0,0.0,18724.682,4,3.7833335,6,1950,0.0
1950-06-20,0.0,0.0,22147.717,4,4.633333,6,1950,0.0
1950-06-21,0.0,0.38874754309654236,23559.963,4,2.9333334,6,1950,0.8166668
1950-06-22,0.0,0.0,22147.666,4,4.0000005,6,1950,0.0
1950-06-23,0.0,1.6383681297302246,27248.484,4,3.9666672,6,1950,3.1666667
1950-06-24,0.0,0.0,22270.682,4,4.0833335,6,1950,0.0
1950-06-25,0.0,0.0,24499.303,4,4.700001,6,1950,0.0
1950-06-26,0.022675917645371912,0.8230127692222595,7854.6167,4,5.5500007,6,1950,1.6333333
1950-06-27,0.0,5.121352672576904,3401.2334,4,2.916667,6,1950,9.716666
1950-06-28,0.0,3.1184144020080566,4912.267,4,1.1833335,6,1950,5.9499984
1950-06-29,0.0,0.734387218952179,3535.7498,4,0.65000004,6,1950,1.4666667
1950-06-30,0.0,0.8496005535125732,9469.9,4,0.9166668,6,1950,1.6833335
1950-07-01,0.0,0.0,13455.317,4,1.1833335,7,1950,0.016666668
1950-07-02,0.0,0.0,18360.451,4,0.9166668,7,1950,0.0
1950-07-03,0.0,0.0,11186.833,4,0.50000006,7,1950,0.0
1950-07-04,0.0,0.0,12959.617,4,1.0333335,7,1950,0.0
1950-07-05,0.0,0.0,8428.468,4,0.7666667,7,1950,0.0
1950-07-06,0.0,0.8230127692222595,8428.2,4,0.033333335,7,1950,1.6333333
1950-07-07,0.0,0.14945845305919647,3810.8835,4,0.0,7,1950,0.36666667
1950-07-08,0.0,9.038603782653809,2980.2002,4,0.0,7,1950,17.083334
1950-07-09,0.0,0.4064725935459137,18684.65,4,0.13333334,7,1950,0.84999996
1950-07-10,0.0,0.0,11237.333,4,2.3166668,7,1950,0.0
1950-07-11,0.0,0.0,7044.033,4,2.7166672,7,1950,0.0
1950-07-12,0.0,10.430024147033691,5174.1997,4,1.9500002,7,1950,19.699999
1950-07-13,0.0,7.026803970336914,944.43335,4,0.083333336,7,1950,13.300003
1950-07-14,0.0,0.5305484533309937,4134.0835,4,1.5833335,7,1950,1.0833334
1950-07-15,0.0,2.7018747329711914,14643.833,4,1.8000002,7,1950,5.1666665
1950-07-16,0.0,0.45078542828559875,16355.401,4,2.8000002,7,1950,0.9333334
1950-07-17,0.0,0.0,16067.367,4,1.4166669,7,1950,0.0
