,i,j,param,k
263,80,99,all,0
264,81,83,all,0
265,81,84,all,0
266,81,98,all,0
267,81,99,all,0
268,82,70,all,0
269,82,71,all,0
270,82,72,all,0
271,82,73,all,0
272,82,74,all,0
273,82,75,all,0
274,82,76,all,0
275,82,77,all,0
276,82,78,all,0
277,82,79,all,0
278,82,80,all,0
279,82,81,all,0
280,82,82,all,0
281,82,83,all,0
282,82,99,all,0
283,83,68,all,0
284,83,69,all,0
285,83,70,all,0
286,83,79,all,0
287,83,80,all,0
288,83,81,all,0
289,83,83,all,0
290,83,84,all,0
291,83,85,all,0
292,83,86,all,0
293,83,87,all,0
294,83,99,all,0
295,84,67,all,0
296,84,68,all,0
297,84,81,all,0
298,84,82,all,0
299,84,83,all,0
300,84,87,all,0
301,84,88,all,0
302,84,89,all,0
303,84,99,all,0
304,85,65,all,0
305,85,66,all,0
306,85,67,all,0
307,85,89,all,0
308,85,90,all,0
309,85,99,all,0
310,86,63,all,0
311,86,64,all,0
312,86,65,all,0
313,86,90,all,0
314,86,99,all,0
315,87,61,all,0
316,87,62,all,0
317,87,63,all,0
318,87,90,all,0
319,87,91,all,0
320,87,97,all,0
321,87,98,all,0
322,87,99,all,0
323,88,57,all,0
324,88,58,all,0
325,88,59,all,0
326,88,60,all,0
327,88,61,all,0
328,88,91,all,0
329,88,92,all,0
330,88,93,all,0
331,88,94,all,0
332,88,95,all,0
333,88,96,all,0
334,88,97,all,0
335,89,56,all,0
336,89,57,all,0
337,90,54,all,0
338,90,55,all,0
339,90,56,all,0
340,91,52,all,0
341,91,53,all,0
342,91,54,all,0
343,92,49,all,0
344,92,50,all,0
345,92,51,all,0
346,92,52,all,0
347,93,47,all,0
348,93,48,all,0
349,93,49,all,0
350,94,45,all,0
351,94,46,all,0
352,94,47,all,0
353,95,42,all,0
354,95,43,all,0
355,95,44,all,0
356,95,45,all,0
357,96,40,all,0
358,96,41,all,0
359,96,42,all,0
360,97,39,all,0
361,97,40,all,0
362,98,38,all,0
363,98,39,all,0
