,i,j,param
245,76,103,all
246,77,90,all
247,77,102,all
248,77,103,all
249,78,84,all
250,78,85,all
251,78,86,all
252,78,87,all
253,78,88,all
254,78,89,all
255,78,90,all
256,78,101,all
257,78,102,all
258,79,84,all
259,79,99,all
260,79,100,all
261,79,101,all
262,80,84,all
263,80,99,all
264,81,83,all
265,81,84,all
266,81,98,all
267,81,99,all
268,82,70,all
269,82,71,all
270,82,72,all
271,82,73,all
272,82,74,all
273,82,75,all
274,82,76,all
275,82,77,all
276,82,78,all
277,82,79,all
278,82,80,all
279,82,81,all
280,82,82,all
281,82,83,all
282,82,99,all
283,83,68,all
284,83,69,all
285,83,70,all
286,83,79,all
287,83,80,all
288,83,81,all
289,83,83,all
290,83,84,all
291,83,85,all
292,83,86,all
293,83,87,all
294,83,99,all
295,84,67,all
296,84,68,all
297,84,81,all
298,84,82,all
299,84,83,all
300,84,87,all
301,84,88,all
302,84,89,all
303,84,99,all
304,85,65,all
305,85,66,all
306,85,67,all
307,85,89,all
308,85,90,all
309,85,99,all
310,86,63,all
311,86,64,all
312,86,65,all
313,86,90,all
314,86,99,all
315,87,61,all
316,87,62,all
317,87,63,all
318,87,90,all
319,87,91,all
320,87,97,all
321,87,98,all
322,87,99,all
323,88,57,all
324,88,58,all
325,88,59,all
326,88,60,all
327,88,61,all
328,88,91,all
329,88,92,all
330,88,93,all
331,88,94,all
332,88,95,all
333,88,96,all
334,88,97,all
335,89,56,all
336,89,57,all
337,90,54,all
338,90,55,all
339,90,56,all
340,91,52,all
341,91,53,all
342,91,54,all
343,92,49,all
344,92,50,all
345,92,51,all
346,92,52,all
347,93,47,all
348,93,48,all
349,93,49,all
350,94,45,all
351,94,46,all
352,94,47,all
353,95,42,all
354,95,43,all
355,95,44,all
356,95,45,all
357,96,40,all
358,96,41,all
359,96,42,all
360,97,39,all
361,97,40,all
362,98,38,all
363,98,39,all
