seg_name,i,j,dist,rbot,rbot_raw,rname,seg,reach,stage,param,k,rtop,above_upstream
clutha_10800,136,95,10800.0,256.45799560546874,259.01458740234375,clutha,1,80,,c1,0,258.45799560546874,False
clutha_10850,137,95,10850.0,256.4267944335937,258.89508056640625,clutha,1,81,,c1,0,258.4267944335937,False
clutha_10950,137,96,10950.0,256.2969177246094,258.8500061035156,clutha,1,82,,c1,0,258.2969177246094,False
clutha_11000,138,96,11000.0,256.1739990234375,258.8249206542969,clutha,1,83,,c1,0,258.1739990234375,False
clutha_11100,139,95,11100.0,256.0349853515625,258.3999938964844,clutha,1,84,,c1,0,258.0349853515625,False
clutha_11200,140,95,11200.0,255.89939575195314,258.3999938964844,clutha,1,85,,c1,0,257.89939575195314,False
clutha_11300,140,94,11300.0,255.71441040039065,258.20001220703125,clutha,1,86,,c1,0,257.71441040039065,False
clutha_11350,141,94,11350.0,255.51544189453125,258.17205810546875,clutha,1,87,,c1,0,257.51544189453125,False
clutha_11400,141,93,11400.0,255.27535247802734,257.8999938964844,clutha,1,88,,c1,0,257.27535247802734,False
clutha_11550,142,92,11550.0,254.97396087646484,257.4051513671875,clutha,1,89,,c1,0,256.97396087646484,False
clutha_11650,142,91,11650.0,254.69954681396484,230.04135131835938,clutha,1,90,,c1,0,256.69954681396484,False
clutha_11750,143,90,11750.0,254.47954559326172,256.69305419921875,clutha,1,91,,c1,0,256.4795455932617,False
clutha_11900,144,89,11900.0,254.30070037841796,256.79998779296875,clutha,1,92,,c1,0,256.30070037841796,False
clutha_12000,145,89,12000.0,254.16649169921874,256.79998779296875,clutha,1,93,,c1,0,256.16649169921874,False
clutha_12100,146,90,12100.0,254.07976684570315,256.51092529296875,clutha,1,94,,c1,0,256.07976684570315,False
clutha_12200,147,90,12200.0,253.95963134765623,256.52850341796875,clutha,1,95,,c1,0,255.95963134765623,False
clutha_12300,148,90,12300.0,253.78945210774742,256.2594299316406,clutha,1,96,,c1,0,255.78945210774742,False
clutha_12400,148,91,12400.0,253.64926656087243,230.0430145263672,clutha,1,97,,c1,0,255.64926656087243,False
clutha_12450,149,91,12450.0,253.49913533528647,230.0320587158203,clutha,1,98,,c1,0,255.49913533528647,False
clutha_12550,150,90,12550.0,253.38713582356772,255.80999755859375,clutha,1,99,,c1,0,255.38713582356772,False
clutha_12650,151,90,12650.0,253.30052388509117,255.77784729003906,clutha,1,100,,c1,0,255.30052388509117,False
clutha_12700,151,89,12700.0,253.1934020996094,255.69943237304688,clutha,1,101,,c1,0,255.1934020996094,False
clutha_12800,152,89,12800.0,253.07140197753907,255.76625061035156,clutha,1,102,,c1,0,255.07140197753907,False
clutha_12850,152,88,12850.0,252.9558319091797,255.41348266601562,clutha,1,103,,c1,0,254.9558319091797,False
clutha_12950,153,88,12950.0,252.7414764404297,255.1999969482422,clutha,1,104,,c1,0,254.7414764404297,False
clutha_13000,153,87,13000.0,252.43638305664064,255.1999969482422,clutha,1,105,,c1,0,254.43638305664064,False
clutha_13100,154,86,13100.0,252.20795288085938,254.62765502929688,clutha,1,106,,c1,0,254.20795288085938,False
clutha_13250,154,85,13250.0,251.9768035888672,254.24078369140625,clutha,1,107,,c1,0,253.9768035888672,False
clutha_13300,155,85,13300.0,251.75680541992188,254.27133178710938,clutha,1,108,,c1,0,253.75680541992188,False
clutha_13350,155,84,13350.0,251.62220153808593,254.04425048828125,clutha,1,109,,c1,0,253.62220153808593,False
clutha_13450,155,83,13450.0,251.5586364746094,254.10000610351562,clutha,1,110,,c1,0,253.5586364746094,False
clutha_13500,156,83,13500.0,251.44436950683593,253.9546356201172,clutha,1,111,,c1,0,253.44436950683593,False
clutha_13600,157,83,13600.0,251.31551818847657,253.92295837402344,clutha,1,112,,c1,0,253.31551818847657,False
clutha_13700,158,83,13700.0,251.12787475585938,253.6999969482422,clutha,1,113,,c1,0,253.12787475585938,False
clutha_13750,158,84,13750.0,250.9398651123047,253.39999389648438,clutha,1,114,,c1,0,252.9398651123047,False
clutha_13850,158,85,13850.0,250.7001525878906,253.1617889404297,clutha,1,115,,c1,0,252.7001525878906,False
clutha_13950,158,86,13950.0,250.42363891601562,253.01458740234375,clutha,1,116,,c1,0,252.42363891601562,False
clutha_14050,158,87,14050.0,250.150146484375,252.72439575195312,clutha,1,117,,c1,0,252.150146484375,False
clutha_14150,158,88,14150.0,249.87810668945312,252.3174285888672,clutha,1,118,,c1,0,251.87810668945312,False
clutha_14250,158,89,14250.0,249.60014953613282,252.03253173828125,clutha,1,119,,c1,0,251.60014953613282,False
clutha_14350,157,89,14350.0,249.39526977539063,251.8015899658203,clutha,1,120,,c1,0,251.39526977539063,False
clutha_14400,157,90,14400.0,249.20520401000977,251.6248016357422,clutha,1,121,,c1,0,251.20520401000977,False
clutha_14500,156,90,14500.0,249.01869888305663,251.6999969482422,clutha,1,122,,c1,0,251.01869888305663,False
clutha_14550,156,91,14550.0,248.8670997619629,241.16969299316406,clutha,1,123,,c1,0,250.8670997619629,False
clutha_14650,156,92,14650.0,248.702140045166,251.10000610351562,clutha,1,124,,c1,0,250.702140045166,False
clutha_14750,157,93,14750.0,248.52214126586915,251.04359436035156,clutha,1,125,,c1,0,250.52214126586915,False
clutha_14850,157,94,14850.0,248.3356140136719,250.8000030517578,clutha,1,126,,c1,0,250.3356140136719,False
clutha_14950,157,95,14950.0,248.15033569335938,250.8000030517578,clutha,1,127,,c1,0,250.15033569335938,False
clutha_15000,158,95,15000.0,247.9444580078125,250.43446350097656,clutha,1,128,,c1,0,249.9444580078125,False
clutha_15150,159,96,15150.0,247.7146759033203,250.17361450195312,clutha,1,129,,c1,0,249.7146759033203,False
clutha_15200,159,95,15200.0,247.48236694335938,250.0142059326172,clutha,1,130,,c1,0,249.48236694335938,False
clutha_15250,160,95,15250.0,247.25547485351564,249.65109252929688,clutha,1,131,,c1,0,249.25547485351564,False
clutha_15350,161,95,15350.0,247.068115234375,249.63845825195312,clutha,1,132,,c1,0,249.068115234375,False
clutha_15450,161,94,15450.0,246.83667602539063,249.3000030517578,clutha,1,133,,c1,0,248.83667602539063,False
clutha_15500,162,94,15500.0,246.66092834472656,249.23681640625,clutha,1,134,,c1,0,248.66092834472656,False
clutha_15550,162,93,15550.0,246.49684448242186,248.8570098876953,clutha,1,135,,c1,0,248.49684448242186,False
clutha_15650,162,92,15650.0,246.37992248535156,248.77235412597656,clutha,1,136,,c1,0,248.37992248535156,False
clutha_15700,163,92,15700.0,246.23748067220055,248.8180389404297,clutha,1,137,,c1,0,248.23748067220055,False
clutha_15800,163,91,15800.0,246.17723592122397,230.18521118164062,clutha,1,138,,c1,0,248.17723592122397,False
