,potential_et,precipitation,reference_et,uncor_potential_et
1950-07-14,0.053726032,1.0833334,4134.0835,1.5833335
1950-07-15,0.06398606,5.1666665,14643.833,1.8000002
1950-07-16,0.11134003,0.9333334,16355.401,2.8000002
1950-07-17,0.045833707,0.0,16067.367,1.4166669
1950-07-18,0.032416753,0.0,24082.201,1.1333336
1950-07-19,0.07424608,0.0,16811.4,2.0166667
1950-07-20,0.0008474346,0.0,6122.85,0.46666667
1950-07-21,-0.021251082,14.216667,9022.817,0.0
1950-07-22,-0.021251082,24.616669,0.0,0.0
1950-07-23,-0.021251082,38.36667,2078.4666,0.0
1950-07-24,-0.018883385,0.0,21702.217,0.05
1950-07-25,-0.02046185,0.6833334,12590.95,0.016666668
1950-07-26,0.048990645,0.21666665,14690.234,1.4833336
1950-07-27,0.057672188,0.0,17675.25,1.6666666
1950-07-28,0.023735188,0.0,12606.417,0.9500001
1950-07-29,0.039519843,0.0,22164.1,1.2833334
1950-07-30,0.01821056,0.0,11550.517,0.83333343
1950-07-31,-0.019672617,0.0,10516.434,0.033333335
1950-08-01,-0.021251082,0.016666668,8597.666,0.0
1950-08-02,-0.021251082,11.05,207.10002,0.0
1950-08-03,-0.021251082,11.55,4416.6167,0.0
1950-08-04,0.007950524,0.81666666,20724.318,0.61666656
1950-08-05,0.040309068,0.016666668,13535.517,1.3
1950-08-06,0.044255234,0.16666667,14760.601,1.3833333
1950-08-07,0.23682806,0.2,27558.031,5.450001
1950-08-08,0.31496212,1.3166667,21125.719,7.100001
1950-08-09,0.25498042,0.05,23785.467,5.833334
1950-08-10,0.1515909,0.0,19344.566,3.6500003
1950-08-11,0.20052335,0.0,17355.15,4.683334
1950-08-12,0.18947408,0.0,8865.367,4.4500003
1950-08-13,0.28102508,0.0,19535.318,6.3833337
1950-08-14,0.5106918,0.0,38340.55,11.233335
1950-08-15,0.50122094,0.016666668,38903.867,11.033333
1950-08-16,0.47912246,0.0,39560.113,10.566667
1950-08-17,0.47359788,0.16666667,23475.732,10.450001
1950-08-18,0.57383037,0.0,34190.72,12.566666
1950-08-19,0.7024753,6.833334,34573.504,15.283333
1950-08-20,0.20762642,12.849999,667.6332,4.8333335
1950-08-21,0.08213841,0.81666666,3211.2002,2.1833334
1950-08-22,0.44518554,0.29999998,27873.967,9.850001
1950-08-23,0.6053997,0.0,36405.266,13.233334
1950-08-24,0.65748906,3.2333333,34034.9,14.333333
1950-08-25,0.4483424,0.0,24808.484,9.916667
1950-08-26,0.6346014,0.0,41712.066,13.850001
1950-08-27,0.7885016,0.0,42025.22,17.099998
1950-08-28,0.67090607,0.13333334,40458.848,14.616668
