,px,py,group,i,j,mx,my,param,k
ss25,1309300.165258164,5041825.0,terrace_east,141,130,1309301.0,5041775.0,main,0
ss25,1309300.165258164,5041825.0,terrace_east,142,128,1309101.0,5041675.0,main,0
ss25,1309300.165258164,5041825.0,terrace_east,142,129,1309201.0,5041675.0,main,0
ss25,1309300.165258164,5041825.0,terrace_east,142,130,1309301.0,5041675.0,main,0
ss26,1308551.0,5043115.214262231,terrace_east,127,120,1308301.0,5043175.0,main,0
ss26,1308551.0,5043115.214262231,terrace_east,127,121,1308401.0,5043175.0,main,0
ss26,1308551.0,5043115.214262231,terrace_east,127,122,1308501.0,5043175.0,main,0
ss26,1308551.0,5043115.214262231,terrace_east,128,120,1308301.0,5043075.0,main,0
ss26,1308551.0,5043115.214262231,terrace_east,128,121,1308401.0,5043075.0,main,0
ss26,1308551.0,5043115.214262231,terrace_east,128,122,1308501.0,5043075.0,main,0
ss26,1308551.0,5043115.214262231,terrace_east,129,120,1308301.0,5042975.0,main,0
ss26,1308551.0,5043115.214262231,terrace_east,129,121,1308401.0,5042975.0,main,0
ss26,1308551.0,5043115.214262231,terrace_east,129,122,1308501.0,5042975.0,main,0
ss27,1308251.0,5044643.479447106,terrace_east,111,117,1308001.0,5044775.0,main,0
ss27,1308251.0,5044643.479447106,terrace_east,111,118,1308101.0,5044775.0,main,0
ss27,1308251.0,5044643.479447106,terrace_east,111,119,1308201.0,5044775.0,main,0
ss27,1308251.0,5044643.479447106,terrace_east,112,117,1308001.0,5044675.0,main,0
ss27,1308251.0,5044643.479447106,terrace_east,112,118,1308101.0,5044675.0,main,0
ss27,1308251.0,5044643.479447106,terrace_east,112,119,1308201.0,5044675.0,main,0
ss27,1308251.0,5044643.479447106,terrace_east,113,117,1308001.0,5044575.0,main,0
ss27,1308251.0,5044643.479447106,terrace_east,113,118,1308101.0,5044575.0,main,0
ss27,1308251.0,5044643.479447106,terrace_east,113,119,1308201.0,5044575.0,main,0
ss28,1308351.0,5043985.319591245,terrace_east,118,118,1308101.0,5044075.0,main,0
ss28,1308351.0,5043985.319591245,terrace_east,118,119,1308201.0,5044075.0,main,0
ss28,1308351.0,5043985.319591245,terrace_east,119,118,1308101.0,5043975.0,main,0
ss28,1308351.0,5043985.319591245,terrace_east,119,119,1308201.0,5043975.0,main,0
ss28,1308351.0,5043985.319591245,terrace_east,119,120,1308301.0,5043975.0,main,0
