Well Number,Description,Depth,Geology,Lithology
F41/0253,Sandy GRAVELS,8,,GRSA
G42/0788,Grey-Brown Silty CLAY,2.8,,CLSI
J41/0495,Grey MUDSTONE,29,,MS
G40/0210,Very Sandy small GRAVELS,18.8,,FGRSA
I44/0081,GRAVELS,7,,GR
G41/0269,SOIL,0.2,,SOIL
G42/0102,Sandy GRAVELS and COBBLES,17.8,,CGRSA
ECL 2013-15,MEDIUM Sandy medium GRAVEL GREY,15,,GRSA
G41/0320,Silty GRAVELS,40.4,,GRSI
H41/0001,"Green SCHIST facies, chlorite zone, well foliated, dark grey to light green",65,,SCHIST
F40/0342-3,Yellow SILT,5.7,,SI
G42/0626,Silty coarse SAND and GRAVELS,6,,GRSISA
I44/0784,Hard yellow CLAY with GRAVEL,32.3,,CGRCL
F40/0291,Silts,4.3,,SI
I44/0808,Grey SILT,7.5,,SI
G41/0462,Large GRAVELS,25.9,,CGR
E41/0137,Sandy GRAVEL,12.3,,GRSA
C-2030,Weak bedded muddy SANDSTONE possibly with some Gravels,76.3,,GRSA
I44/0990,Claybound GRAVELS,3.8,,GRCL
I44/0726,CLAY,29,,CL
H46/0145,ROCK,42,,TERT
G44/0219,"CLAY, few GRAVELS",9.8,,GRCL
H44/0023,"Marine SILTS, SEASHELLS",5,,SISH
F41/0236,Fine Well Rounded GRAVELS silt and SAND,13.2,,GRSISA
G40/0149,Loose GRAVEL,2,,GR
G41/0099,Coarse Sandy GRAVEL,13.5,,CGRSA
J41/0574,Blue MUDSTONE,255.6,,MS
F40/0336,Sandy SILT,19,,SISA
I44/1054,Yellow Claybound GRAVELS,17.8,,GRCL
J41/0537,Compacted green SANDSTONE,38.1,,CESS
G41/0372,CLAY,35,,CL
G42/0613-1,"Medium yellowish brown, moderately weathered, well graded, very Silty SAND with GRAVELS",28,,GRSISA
G44/0117,CLAY,7.2,,CL
I44/1057,Silty Claybound GRAVELS,1.6,,GRCL
I44/1012,SAND and River GRAVELS Quartz,21,,GRSA
G41/0246,SOIL,0.6,,SOIL
H42/0194,Silty CLAY BROWN,2.94,,CLSI
G41/0206,Coarse Sandy GRAVEL,22.6,,CGRSA
J42/0034,MUDSTONE,154.1,,MS
F41/0368,Sandy Silty coarse SCHIST GRAVELS,19.1,,GRSISA
G40/0258,Silty Sandy GRAVELS and BOULDERS,7.9,,CGRSISA
J42/0149,Brown CLAY,5.79,,CL
G42/0241,Sandy GRAVELS,1.8,,GRSA
G41/0413,GRAVELS,18,,GR
I44/1034,CLAY,6.4,,CL
J41/0378,Blue SILTSTONE,15.5,,MS
I44/0790,GRAVEL (water bearing),93.6,,GR
G46/0100,Blue/fractured ROCK and red pigment - volcanic Ash,34.5,,VOLC
G40/0278,Dry Claybound GRAVELS and boulders,23.5,,CGRCL
I44/1092,Yellow CLAY,22.5,,CL
C-2011,Weak irregularly bedded SILTSTONE - muddy SILTSTONE,58.4,,SS
G42/0809,LARGE medium fine GRAVELS and SAND,19.9,,FGRSA
F41/0390,"Lake sediment, SILTS, SANDS and trace Gravels",20.41,,GRSISA
F41/0413,Silty grey GRAVEL,3.4,,GRSI
C-2034,MUDSTONE Silty MUDSTONE,193.6,,MS
G40/0053,Soft Damp Silty Sandy GRAVELS,18.1,,GRSISA
J41/0121,Plastic MUDSTONE with fine SAND,38.1,,MS
G42/0716,CLAY,39.9,,CL
G45/0175,Sandy CLAY,5.6,,CLSA
I44/0957,GRAVELS,27,,GR
