Date,Rainfall,PET
17/12/2012,0,3.8
18/12/2012,0.8,2.5
19/12/2012,0,3.7
20/12/2012,0,5.8
21/12/2012,0,5.6
22/12/2012,0,4.1
23/12/2012,0,5.4
24/12/2012,0,5.6
25/12/2012,0,6
26/12/2012,0,6.3
27/12/2012,0,4.3
28/12/2012,0,5.9
29/12/2012,0,4.8
30/12/2012,6.1,3.1
31/12/2012,1.6,2.8
1/01/2013,2,4.1
2/01/2013,8.2,1.7
3/01/2013,34.5,1.3
4/01/2013,0,3.4
5/01/2013,0,4.5
6/01/2013,0,5.6
7/01/2013,0,5.9
8/01/2013,0,3.9
9/01/2013,0.6,4.7
10/01/2013,32.4,1.4
11/01/2013,1.1,3.3
12/01/2013,0,5.1
13/01/2013,12.3,5.4
14/01/2013,0,5.9
15/01/2013,0,4.7
16/01/2013,0,3.3
17/01/2013,1.5,3.6
18/01/2013,0,3.1
19/01/2013,0,3.9
20/01/2013,0,3.9
21/01/2013,0,4
22/01/2013,0,5
23/01/2013,0,5.6
24/01/2013,0,2.5
25/01/2013,0,4
26/01/2013,0,5.2
27/01/2013,0,5.5
28/01/2013,0,5.6
29/01/2013,0,5.4
30/01/2013,0,5.4
31/01/2013,0,5.5
1/02/2013,0,3.5
2/02/2013,0,5.5
3/02/2013,0,4.3
4/02/2013,20.1,3.8
5/02/2013,22,1.2
6/02/2013,0,4.2
7/02/2013,0,3.9
8/02/2013,0,4.7
9/02/2013,0,4.7
10/02/2013,0,4.4
11/02/2013,0,4
12/02/2013,5.2,3.3
13/02/2013,0,3.2
14/02/2013,0,3.4
15/02/2013,0,2.6
16/02/2013,0,3.3
17/02/2013,0,3.3
18/02/2013,0,4.3
19/02/2013,0,4.4
20/02/2013,0,4.5
21/02/2013,0,4.3
22/02/2013,0,4.1
23/02/2013,0,3.9
24/02/2013,0,3.9
25/02/2013,0,4
26/02/2013,0,3.7
27/02/2013,0,2.9
28/02/2013,0,3.5
1/03/2013,0,3.7
2/03/2013,0,2.5
3/03/2013,0,1.9
4/03/2013,0,2.7
5/03/2013,0,3.1
6/03/2013,0,3.1
7/03/2013,0,1.5
8/03/2013,0,3
9/03/2013,0,3.2
10/03/2013,0,2.9
11/03/2013,0,3.2
12/03/2013,0,3.5
13/03/2013,0,2.8
14/03/2013,0,3
15/03/2013,0,2.5
16/03/2013,0,2
17/03/2013,0,2.6
18/03/2013,29.4,0.3
19/03/2013,0,0.7
20/03/2013,0,1.9
21/03/2013,0,2.2
22/03/2013,0,2.2
23/03/2013,0,2.4
24/03/2013,0,1.1
25/03/2013,0,1.1
26/03/2013,5.5,1.8
27/03/2013,0,2
28/03/2013,0,2.2
29/03/2013,0,2.1
30/03/2013,0,1.8
31/03/2013,0,1.4
1/04/2013,1.2,1.4
2/04/2013,0,1.5
3/04/2013,0,1.5
4/04/2013,2.1,1.5
5/04/2013,0,1.3
6/04/2013,0.7,1.2
7/04/2013,0,1.2
8/04/2013,0,1
9/04/2013,0,0.8
10/04/2013,0,1
11/04/2013,0,1.1
12/04/2013,0.9,0.8
13/04/2013,0,1.1
14/04/2013,0,1.1
15/04/2013,0,0.7
16/04/2013,0,0.8
17/04/2013,0,0.8
18/04/2013,0,0.4
19/04/2013,0,0.5
20/04/2013,4.8,0.6
21/04/2013,0,0.3
22/04/2013,0,0.4
23/04/2013,0.3,0.4
24/04/2013,1,0.3
25/04/2013,0,0.4
26/04/2013,0,0.5
27/04/2013,4.1,0.2
28/04/2013,0,0.7
29/04/2013,4.4,0.4
30/04/2013,0,0.5
