#,m3/s,m3/s,l/s,l/s,
date,Graview Ck at LHS m3/s,Lagoon Ck at MGH m3/s,Grandview Ck at LHS l/s,Lagoon Ck at MGH l/s,Luggate (Nat) l/s
17/12/2017 0:00,0.023035265,0.016478634,23.035265,16.478634,633
18/12/2017 0:00,0.021494974,0.016062064,21.494974,16.062064,637
19/12/2017 0:00,0.018965246,0.015526265,18.965246,15.526265,4086
20/12/2017 0:00,0.019874609,0.01801414,19.874609,18.01414,2736
21/12/2017 0:00,0.020550456,0.018768625,20.550456,18.768625,1479
22/12/2017 0:00,0.018123835,0.019751278,18.123835,19.751278,1178
23/12/2017 0:00,0.013841486,0.01854776,13.841486,18.54776,1067
24/12/2017 0:00,0.013077927,0.017637176,13.077927,17.637176,1013
25/12/2017 0:00,0.015823112,0.019290795,15.823112,19.290795,934
26/12/2017 0:00,0.016850833,0.020363059,16.850833,20.363059,872
27/12/2017 0:00,0.015962642,0.019695285,15.962642,19.695285,849
28/12/2017 0:00,0.014904227,0.018408029,14.904227,18.408029,839
29/12/2017 0:00,0.014127485,0.017771149,14.127485,17.771149,893
30/12/2017 0:00,0.014017237,0.017314929,14.017237,17.314929,940
31/12/2017 0:00,0.014040722,0.017312744,14.040722,17.312744,861
1/01/2018 0:00,0.013420069,0.017598114,13.420069,17.598114,834
2/01/2018 0:00,0.011397577,0.015897861,11.397577,15.897861,795
3/01/2018 0:00,0.011905681,0.014503539,11.905681,14.503539,807
4/01/2018 0:00,0.013069586,0.014802112,13.069586,14.802112,839
5/01/2018 0:00,0.020132328,0.017844683,20.132328,17.844683,852
6/01/2018 0:00,0.020635134,0.017831246,20.635134,17.831246,854
7/01/2018 0:00,0.022238732,0.0183509,22.238732,18.3509,1294
8/01/2018 0:00,0.019104424,0.01702463,19.104424,17.02463,2558
9/01/2018 0:00,0.016507268,0.015821582,16.507268,15.821582,1862
10/01/2018 0:00,0.017850096,0.015973489,17.850096,15.973489,2036
11/01/2018 0:00,0.023789947,0.018147499,23.789947,18.147499,2275
12/01/2018 0:00,0.02031334,0.016872539,20.31334,16.872539,4084
13/01/2018 0:00,0.017464482,0.01577178,17.464482,15.77178,4928
14/01/2018 0:00,0.015283826,0.014625957,15.283826,14.625957,2815
15/01/2018 0:00,0.012543688,0.014009333,12.543688,14.009333,2265
16/01/2018 0:00,0.011867103,0.014041799,11.867103,14.041799,2055
17/01/2018 0:00,0.012137668,0.017832502,12.137668,17.832502,1980
18/01/2018 0:00,0.011704496,0.017584079,11.704496,17.584079,1919
19/01/2018 0:00,0.006895842,0.01489358,6.895842,14.89358,1699
20/01/2018 0:00,0.004654394,0.01264911,4.654394,12.64911,1580
21/01/2018 0:00,0.003808943,0.01271839,3.808943,12.71839,1528
22/01/2018 0:00,0.006227159,0.013539572,6.227159,13.539572,1508
23/01/2018 0:00,0.007917778,0.012885325,7.917778,12.885325,1411
24/01/2018 0:00,0.0076422,0.011911827,7.6422,11.911827,1341
25/01/2018 0:00,0.00704848,0.012867269,7.04848,12.867269,1273
26/01/2018 0:00,0.006349832,0.01328829,6.349832,13.28829,1207
27/01/2018 0:00,0.005949406,0.01126128,5.949406,11.26128,1173
28/01/2018 0:00,0.005873912,0.010321169,5.873912,10.321169,1164
29/01/2018 0:00,0.005655257,0.011417627,5.655257,11.417627,1143
30/01/2018 0:00,0.005080269,0.010020857,5.080269,10.020857,1114
31/01/2018 0:00,0.007202623,0.009747726,7.202623,9.747726,1185
1/02/2018 0:00,0.214749049,0.057938022,214.749049,57.938022,1049
2/02/2018 0:00,0.147807125,0.040141495,147.807125,40.141495,942
3/02/2018 0:00,0.043252464,0.012180564,43.252464,12.180564,955
4/02/2018 0:00,0.028117421,0.008315907,28.117421,8.315907,940
5/02/2018 0:00,0.02290842,0.00693647,22.90842,6.93647,1356
6/02/2018 0:00,0.020671358,0.006677713,20.671358,6.677713,2531
7/02/2018 0:00,0.019338437,0.006154715,19.338437,6.154715,1592
8/02/2018 0:00,0.017316468,0.005707275,17.316468,5.707275,1893
9/02/2018 0:00,0.016230742,0.005317929,16.230742,5.317929,1897
10/02/2018 0:00,0.015738677,0.005434223,15.738677,5.434223,2015
11/02/2018 0:00,0.021413685,0.007195457,21.413685,7.195457,3577
12/02/2018 0:00,0.019089098,0.007783606,19.089098,7.783606,3352
13/02/2018 0:00,0.017057616,0.006351082,17.057616,6.351082,2447
14/02/2018 0:00,0.016900559,0.005906892,16.900559,5.906892,2113
15/02/2018 0:00,0.016654814,0.00563733,16.654814,5.63733,2110
16/02/2018 0:00,0.015948679,0.005438883,15.948679,5.438883,1862
17/02/2018 0:00,0.017064159,0.006125123,17.064159,6.125123,1743
18/02/2018 0:00,0.015756264,0.006303662,15.756264,6.303662,1644
19/02/2018 0:00,0.017479435,0.006992384,17.479435,6.992384,1537
20/02/2018 0:00,0.061662249,0.012767057,61.662249,12.767057,1464
21/02/2018 0:00,0.203958168,0.032786767,203.958168,32.786767,1482
22/02/2018 0:00,0.098678311,0.032801723,98.678311,32.801723,1911
23/02/2018 0:00,0.060681421,0.018977584,60.681421,18.977584,1586
24/02/2018 0:00,0.046211556,0.016412657,46.211556,16.412657,1467
25/02/2018 0:00,0.05070653,0.016170014,50.70653,16.170014,1442
26/02/2018 0:00,0.055728073,0.020529224,55.728073,20.529224,1450
27/02/2018 0:00,0.0480676,0.0178048,48.0676,17.8048,1459
28/02/2018 0:00,0.047058889,0.01614586,47.058889,16.14586,1441
1/03/2018 0:00,0.044903598,0.015372303,44.903598,15.372303,1392
2/03/2018 0:00,0.045656993,0.017048436,45.656993,17.048436,1404
3/03/2018 0:00,0.051904645,0.020555079,51.904645,20.555079,2000
4/03/2018 0:00,0.04450858,0.018878452,44.50858,18.878452,2318
5/03/2018 0:00,0.041136763,0.017651135,41.136763,17.651135,1838
6/03/2018 0:00,0.042083446,0.017564216,42.083446,17.564216,1684
7/03/2018 0:00,0.040091882,0.018890616,40.091882,18.890616,1630
8/03/2018 0:00,0.037230182,0.017989239,37.230182,17.989239,1601
9/03/2018 0:00,0.030650484,0.016763952,30.650484,16.763952,1543
10/03/2018 0:00,0.028335827,0.016544951,28.335827,16.544951,1496
11/03/2018 0:00,0.027491956,0.015585872,27.491956,15.585872,1433
12/03/2018 0:00,0.02744336,0.015780573,27.44336,15.780573,1384
13/03/2018 0:00,0.026894092,0.01628794,26.894092,16.28794,1370
14/03/2018 0:00,0.026484814,0.016427411,26.484814,16.427411,1392
15/03/2018 0:00,0.025476345,0.016709378,25.476345,16.709378,2397
16/03/2018 0:00,0.025811793,0.018819414,25.811793,18.819414,2789
17/03/2018 0:00,0.025368183,0.019705918,25.368183,19.705918,2317
18/03/2018 0:00,0.025286185,0.021492581,25.286185,21.492581,2197
19/03/2018 0:00,0.024509753,0.02294413,24.509753,22.94413,2129
20/03/2018 0:00,0.023341627,0.024021286,23.341627,24.021286,2007
21/03/2018 0:00,0.046034256,0.033624087,46.034256,33.624087,1960
22/03/2018 0:00,0.15099266,0.037850112,150.99266,37.850112,2081
23/03/2018 0:00,0.09404262,0.018183203,94.04262,18.183203,2441
24/03/2018 0:00,0.075994068,0.015259676,75.994068,15.259676,2324
25/03/2018 0:00,0.064786645,0.014197195,64.786645,14.197195,2223
26/03/2018 0:00,0.056005734,0.012664163,56.005734,12.664163,2175
27/03/2018 0:00,0.067311726,0.015318086,67.311726,15.318086,2100
28/03/2018 0:00,0.059792109,0.017634075,59.792109,17.634075,2167
29/03/2018 0:00,0.055901682,0.014012702,55.901682,14.012702,2544
30/03/2018 0:00,0.053684508,0.012386808,53.684508,12.386808,2222
31/03/2018 0:00,0.054579633,0.01288397,54.579633,12.88397,2109
1/04/2018 0:00,0.050442077,0.012695727,50.442077,12.695727,2043
2/04/2018 0:00,0.047292955,0.012612743,47.292955,12.612743,2008
3/04/2018 0:00,0.044669131,0.011886679,44.669131,11.886679,1969
4/04/2018 0:00,0.042670956,0.010396634,42.670956,10.396634,1895
5/04/2018 0:00,0.041338328,0.01133874,41.338328,11.33874,1820
6/04/2018 0:00,0.04828171,0.012154028,48.28171,12.154028,2265
7/04/2018 0:00,0.052928341,0.018484598,52.928341,18.484598,2408
8/04/2018 0:00,0.046378761,0.016004356,46.378761,16.004356,3909
9/04/2018 0:00,0.045827046,0.014691756,45.827046,14.691756,2892
10/04/2018 0:00,0.049346824,0.016292128,49.346824,16.292128,2401
11/04/2018 0:00,0.047825107,0.017095946,47.825107,17.095946,2165
12/04/2018 0:00,0.049691636,0.017207919,49.691636,17.207919,2028
13/04/2018 0:00,0.049514365,0.016440508,49.514365,16.440508,1963
14/04/2018 0:00,0.047222477,0.0156171,47.222477,15.6171,1882
15/04/2018 0:00,0.047977037,0.015466293,47.977037,15.466293,1823
16/04/2018 0:00,0.055770036,0.018010989,55.770036,18.010989,1785
17/04/2018 0:00,0.100982986,0.027326805,100.982986,27.326805,1750
18/04/2018 0:00,0.093731588,0.026794601,93.731588,26.794601,1699
19/04/2018 0:00,0.084387609,0.023391109,84.387609,23.391109,1651
20/04/2018 0:00,0.078393326,0.02134357,78.393326,21.34357,1630
21/04/2018 0:00,0.074030365,0.019734917,74.030365,19.734917,1636
22/04/2018 0:00,0.070772534,0.018741172,70.772534,18.741172,1632
23/04/2018 0:00,0.066959262,0.017637955,66.959262,17.637955,1466
24/04/2018 0:00,0.062112062,0.016316769,62.112062,16.316769,1644
25/04/2018 0:00,0.057281205,0.015830263,57.281205,15.830263,1632
26/04/2018 0:00,0.054750581,0.015413155,54.750581,15.413155,1614
27/04/2018 0:00,0.054028389,0.0165503,54.028389,16.5503,1774
28/04/2018 0:00,0.195721352,0.055660594,195.721352,55.660594,1761
29/04/2018 0:00,0.924255776,0.068389473,924.255776,68.389473,1728
30/04/2018 0:00,0.614458416,0.064726521,614.458416,64.726521,1687
1/05/2018 0:00,0.429453348,0.064790518,429.453348,64.790518,1654
2/05/2018 0:00,0.33402252,0.066585859,334.02252,66.585859,1622
3/05/2018 0:00,0.26776603,0.060847402,267.76603,60.847402,1684
4/05/2018 0:00,0.221649166,0.051997987,221.649166,51.997987,1668
5/05/2018 0:00,0.207850677,0.044129708,207.850677,44.129708,1644
6/05/2018 0:00,0.199009063,0.044020847,199.009063,44.020847,1596
7/05/2018 0:00,0.179670709,0.038978774,179.670709,38.978774,1540
8/05/2018 0:00,0.164837576,0.039277983,164.837576,39.277983,1515
9/05/2018 0:00,0.152026242,0.039712634,152.026242,39.712634,1467
10/05/2018 0:00,0.144530856,0.034251029,144.530856,34.251029,1436
11/05/2018 0:00,0.153355017,0.033100925,153.355017,33.100925,1621
12/05/2018 0:00,0.170009803,0.038512223,170.009803,38.512223,1561
13/05/2018 0:00,0.151401748,0.035837673,151.401748,35.837673,1501
14/05/2018 0:00,0.145013762,0.033933188,145.013762,33.933188,1488
15/05/2018 0:00,0.141779925,0.032716985,141.779925,32.716985,1458
