ConsentID,WellNumber,MaxFlowRate,StreamDepletionFlow,MaxHourlyVolume,MaxdailyVolume,MaxWeeklyVolume,MaxMonthlyVolume,MaxYearlyVolume,Aquifer,B1_APPL_STATUS,#Wells,WM_Accela,#WaterMeters,FMU,Rohe,Type,WellsDtbAquifer,B1_X_COORD,B1_Y_COORD,EastingTM,NorthingTM,ConsentCommencementDate,ConsentExpiryDate,ConsentIssued,Consumptive,USE1,USE2
95978.V1,,,,,,,,,,Expired – Pending Application,,WM0958,1,,,Surface Take,,1349991,5001802,,,04/12/1996,10/01/2021,04/12/1996,Yes,,
96376,,140,,,,,,,,Expired – Pending Application,,WM1558,1,,,Surface Take,,1359636,4965692,,,03/18/1998,10/01/2021,03/18/1998,Yes,,
96476V1,,,,,,,,,,Current,,WM0966,1,,,Surface Take,,1359848,4954793,,,05/18/1999,01/01/2034,05/18/1999,No,,
96486,,,,,,,,,,Current,,Paerau Weir Residual,,,,Surface Take,,1361633,4967400,,,05/18/1999,01/01/2034,05/18/1999,No,,
96488,,,,,,,,,,Current,,,,,,Surface Take,,1361633,4967400,,,05/18/1999,01/01/2034,05/18/1999,No,,
96552,,27.77,,,,,,,,Expired – Pending Application,,,,,,Surface Take,,1293925,5036377,,,12/09/1996,10/01/2021,12/09/1996,Yes,,
96810.V3,,,,,,,,,,Current,,,,,,Surface Take,,1399538,4971145,,,04/02/1998,08/31/2032,04/02/1998,No,,
97005,,3,,,,,,,,Current,,,,,,Surface Take,,1300358,5003055,,,04/29/1997,03/01/2027,04/29/1997,Yes,,
97024,,83.33,,,,,,,,Expired – Pending Application,,WM0144,1,,,Surface Take,,1299290,5011859,,,10/28/1998,10/01/2021,10/28/1998,Yes,,
97039,,27.77,,,,,,,,Expired – Pending Application,,,,,,Surface Take,,1292292.5,5003321,,,05/20/1997,02/01/2022,05/20/1997,No,,
