,max_pumping_rate,terrace_hk,flat_hk,terrace_sy,flat_sy,riv_cond
077,1000.0,10.0,10.0,1.0,1.0,2500.0
078,1000.0,10.0,10.0,10.0,10.0,750.0
079,1000.0,10.0,10.0,10.0,10.0,1500.0
080,1000.0,10.0,10.0,10.0,10.0,2500.0
081,5000.0,0.1,0.1,0.1,0.1,750.0
082,5000.0,0.1,0.1,0.1,0.1,1500.0
083,5000.0,0.1,0.1,0.1,0.1,2500.0
084,5000.0,0.1,0.1,1.0,1.0,750.0
085,5000.0,0.1,0.1,1.0,1.0,1500.0
086,5000.0,0.1,0.1,1.0,1.0,2500.0
087,5000.0,0.1,0.1,10.0,10.0,750.0
088,5000.0,0.1,0.1,10.0,10.0,1500.0
089,5000.0,0.1,0.1,10.0,10.0,2500.0
090,5000.0,1.0,1.0,0.1,0.1,750.0
091,5000.0,1.0,1.0,0.1,0.1,1500.0
092,5000.0,1.0,1.0,0.1,0.1,2500.0
093,5000.0,1.0,1.0,1.0,1.0,750.0
094,5000.0,1.0,1.0,1.0,1.0,1500.0
095,5000.0,1.0,1.0,1.0,1.0,2500.0
096,5000.0,1.0,1.0,10.0,10.0,750.0
097,5000.0,1.0,1.0,10.0,10.0,1500.0
098,5000.0,1.0,1.0,10.0,10.0,2500.0
099,5000.0,10.0,10.0,0.1,0.1,750.0
100,5000.0,10.0,10.0,0.1,0.1,1500.0
101,5000.0,10.0,10.0,0.1,0.1,2500.0
102,5000.0,10.0,10.0,1.0,1.0,750.0
103,5000.0,10.0,10.0,1.0,1.0,1500.0
104,5000.0,10.0,10.0,1.0,1.0,2500.0
105,5000.0,10.0,10.0,10.0,10.0,750.0
106,5000.0,10.0,10.0,10.0,10.0,1500.0
107,5000.0,10.0,10.0,10.0,10.0,2500.0
