permit_id,water_meter_no,date,total_allo,sw_allo,gw_allo,total_metered_allo,sw_metered_allo,gw_metered_allo,total_usage,sw_allo_usage,gw_allo_usage
2003.076.V1,303,2021-06-30,4500.0,0.0,4500.0,4500.0,0.0,4500.0,1040.750072918,0.0,1040.750072918
2003.271,323,2015-06-30,304080.0,0.0,304080.0,304080.0,0.0,304080.0,12163.0,0.0,12163.0
2003.271,323,2016-06-30,304080.0,0.0,304080.0,304080.0,0.0,304080.0,18835.437775626786,0.0,18835.437775626786
2003.271,323,2017-06-30,304080.0,0.0,304080.0,304080.0,0.0,304080.0,8586.562224372616,0.0,8586.562224372616
2003.271,323,2018-06-30,304080.0,0.0,304080.0,304080.0,0.0,304080.0,10478.0,0.0,10478.0
2003.271,323,2019-06-30,304080.0,0.0,304080.0,304080.0,0.0,304080.0,6382.0,0.0,6382.0
2003.271,323,2020-06-30,304080.0,0.0,304080.0,304080.0,0.0,304080.0,4289.0,0.0,4289.0
2003.271,323,2021-06-30,304080.0,0.0,304080.0,304080.0,0.0,304080.0,6668.0,0.0,6668.0
2003.291.V1,324,2015-06-30,9624.0,0.0,9624.0,9624.0,0.0,9624.0,2917.5714284908618,0.0,2917.5714284908618
2003.291.V1,324,2016-06-30,9624.0,0.0,9624.0,9624.0,0.0,9624.0,3486.2857141894438,0.0,3486.2857141894438
2003.291.V1,324,2017-06-30,9624.0,0.0,9624.0,9624.0,0.0,9624.0,936.3028571427158,0.0,936.3028571427158
2003.291.V1,324,2018-06-30,9624.0,0.0,9624.0,9624.0,0.0,9624.0,2498.03,0.0,2498.03
2003.291.V1,324,2019-06-30,9624.0,0.0,9624.0,9624.0,0.0,9624.0,2.98,0.0,2.98
2003.291.V1,324,2020-06-30,9624.0,0.0,9624.0,9624.0,0.0,9624.0,84.34,0.0,84.34
2003.291.V1,324,2021-06-30,9624.0,0.0,9624.0,9624.0,0.0,9624.0,1346.85,0.0,1346.85
2003.315.V1,329,2015-06-30,4680.0,0.0,4680.0,4680.0,0.0,4680.0,2335.499999935497,0.0,2335.499999935497
2003.315.V1,329,2016-06-30,4680.0,0.0,4680.0,4680.0,0.0,4680.0,3282.7857141950967,0.0,3282.7857141950967
2003.315.V1,329,2017-06-30,4680.0,0.0,4680.0,4680.0,0.0,4680.0,6368.12986995352,0.0,6368.12986995352
2003.315.V1,329,2018-06-30,4680.0,0.0,4680.0,4680.0,0.0,4680.0,498.5844155706364,0.0,498.5844155706364
2003.315.V1,329,2019-06-30,4680.0,0.0,4680.0,4680.0,0.0,4680.0,0.0,0.0,0.0
2003.315.V1,329,2020-06-30,4680.0,0.0,4680.0,4680.0,0.0,4680.0,6654.999999815533,0.0,6654.999999815533
2003.315.V1,329,2021-06-30,4680.0,0.0,4680.0,4680.0,0.0,4680.0,1430.999999960489,0.0,1430.999999960489
2003.328.V1,331,2015-06-30,201000.0,0.0,201000.0,201000.0,0.0,201000.0,29028.0,0.0,29028.0
2003.328.V1,331,2016-06-30,201000.0,0.0,201000.0,201000.0,0.0,201000.0,0.0,0.0,0.0
2003.328.V1,331,2017-06-30,201000.0,0.0,201000.0,201000.0,0.0,201000.0,30961.40944357734,0.0,30961.40944357734
2003.328.V1,331,2018-06-30,201000.0,0.0,201000.0,201000.0,0.0,201000.0,40066.99055444296,0.0,40066.99055444296
2003.328.V1,331,2019-06-30,201000.0,0.0,201000.0,201000.0,0.0,201000.0,3856.8999999010775,0.0,3856.8999999010775
2003.328.V1,331,2020-06-30,201000.0,0.0,201000.0,201000.0,0.0,201000.0,0.0,0.0,0.0
2003.328.V1,331,2021-06-30,201000.0,0.0,201000.0,201000.0,0.0,201000.0,40659.2,0.0,40659.2
2003.328.V1,332,2015-06-30,201000.0,0.0,201000.0,201000.0,0.0,201000.0,5473.999999843667,0.0,5473.999999843667
2003.328.V1,332,2016-06-30,201000.0,0.0,201000.0,201000.0,0.0,201000.0,5199.999999851778,0.0,5199.999999851778
2003.328.V1,332,2017-06-30,201000.0,0.0,201000.0,201000.0,0.0,201000.0,711.9999999805558,0.0,711.9999999805558
2003.328.V1,332,2018-06-30,201000.0,0.0,201000.0,201000.0,0.0,201000.0,5961.799999834357,0.0,5961.799999834357
2003.328.V1,332,2019-06-30,201000.0,0.0,201000.0,201000.0,0.0,201000.0,2270.829222162375,0.0,2270.829222162375
2003.328.V1,332,2020-06-30,201000.0,0.0,201000.0,201000.0,0.0,201000.0,0.0,0.0,0.0
2003.328.V1,332,2021-06-30,201000.0,0.0,201000.0,201000.0,0.0,201000.0,286.265,0.0,286.265
2003.526.V1,340,2015-06-30,551400.0,551400.0,0.0,551400.0,551400.0,0.0,71611.99999999627,71611.99999999627,0.0
2003.526.V1,340,2016-06-30,551400.0,551400.0,0.0,551400.0,551400.0,0.0,79252.99999999953,79252.99999999953,0.0
2003.526.V1,340,2017-06-30,551400.0,551400.0,0.0,551400.0,551400.0,0.0,43592.0,43592.0,0.0
2003.526.V1,340,2018-06-30,551400.0,551400.0,0.0,551400.0,551400.0,0.0,80234.0,80234.0,0.0
2003.526.V1,340,2019-06-30,551400.0,551400.0,0.0,551400.0,551400.0,0.0,31579.0,31579.0,0.0
