permit_id,water_meter_no,date,total_allo,total_usage
2003.761,1229,2020-05-12,60.0,913.0
2003.761,1229,2020-05-13,60.0,932.0
2003.761,1229,2020-05-14,60.0,845.0
2003.761,1229,2020-05-15,60.0,947.0
2003.761,1229,2020-05-16,60.0,590.0
2003.761,1229,2020-05-17,60.0,620.0
2003.761,1229,2020-05-18,60.0,634.0
2003.761,1229,2020-05-19,60.0,741.0
2003.761,1229,2020-05-20,60.0,565.0
2003.761,1229,2020-05-21,60.0,687.0
2003.761,1229,2020-05-22,60.0,597.0
2003.761,1229,2020-05-24,60.0,1482.0618556701
2003.761,1229,2020-05-25,60.0,1180.0
2003.761,1229,2020-05-26,60.0,1398.0
2003.761,1229,2020-05-27,60.0,1116.0
2003.761,1229,2020-05-28,60.0,1229.0
2003.761,1229,2020-05-29,60.0,624.0
2003.761,1229,2020-05-30,60.0,831.0
2003.761,1229,2020-06-01,60.0,1104.11340206186
2003.761,1229,2020-06-02,60.0,1272.0
2003.761,1229,2020-06-03,60.0,804.0
2003.761,1229,2020-06-04,60.0,1187.0
2003.761,1229,2020-06-05,60.0,1337.0
2003.761,1229,2020-06-06,60.0,1051.0
2003.761,1229,2020-06-07,60.0,802.0
2003.761,1229,2020-06-08,60.0,1212.0
2003.761,1229,2020-06-09,60.0,554.0
2003.761,1229,2020-06-10,60.0,511.0
2003.761,1229,2020-06-11,60.0,522.0
2003.761,1229,2020-06-12,60.0,772.0
2003.761,1229,2020-06-13,60.0,733.0
2003.761,1229,2020-06-14,60.0,1118.0
2003.761,1229,2020-06-15,60.0,1151.0
2003.761,1229,2020-06-16,60.0,1041.0
2003.761,1229,2020-06-17,60.0,1009.0
2003.761,1229,2020-06-18,60.0,1010.92
2003.761,1229,2020-06-19,60.0,931.32
2003.761,1229,2020-06-20,60.0,1348.0
2003.761,1229,2020-06-21,60.0,1231.0
2003.761,1229,2020-06-22,60.0,1274.0
2003.761,1229,2020-06-23,60.0,1460.0
2003.761,1229,2020-06-24,60.0,1528.0
2003.761,1229,2020-06-25,60.0,1204.0
2003.761,1229,2020-06-26,60.0,1076.0
2003.761,1229,2020-06-27,60.0,1164.0
2003.761,1229,2020-06-28,60.0,1254.0
2003.761,1229,2020-06-29,60.0,1166.0
2003.761,1229,2020-06-30,60.0,1258.0
2003.761,1229,2020-07-01,60.0,1203.0
2003.761,1229,2020-07-02,60.0,1188.0
2003.761,1229,2020-07-03,60.0,1295.0
2003.761,1229,2020-07-04,60.0,1501.0
2003.761,1229,2020-07-05,60.0,1346.0
2003.761,1229,2020-07-06,60.0,1216.0
2003.761,1229,2020-07-07,60.0,1185.0
2003.761,1229,2020-07-08,60.0,1126.0
2003.761,1229,2020-07-09,60.0,1148.0
2003.761,1229,2020-07-10,60.0,1245.0
2003.761,1229,2020-07-11,60.0,1201.0
2003.761,1229,2020-07-12,60.0,1342.0
2003.761,1229,2020-07-13,60.0,1544.0
2003.761,1229,2020-07-14,60.0,1188.0
2003.761,1229,2020-07-15,60.0,1174.0
2003.761,1229,2020-07-16,60.0,1146.46
2003.761,1229,2020-07-17,60.0,1138.41
2003.761,1229,2020-07-18,60.0,1222.0
2003.761,1229,2020-07-19,60.0,1295.0
2003.761,1229,2020-07-20,60.0,1357.0
2003.761,1229,2020-07-21,60.0,1257.0
2003.761,1229,2020-07-22,60.0,1176.0
2003.761,1229,2020-07-23,60.0,1291.0
2003.761,1229,2020-07-24,60.0,1479.0
2003.761,1229,2020-07-25,60.0,1175.0
2003.761,1229,2020-07-26,60.0,1249.0
2003.761,1229,2020-07-27,60.0,1195.0
2003.761,1229,2020-07-28,60.0,1131.5
2003.761,1229,2020-07-29,60.0,1162.0
2003.761,1229,2020-07-30,60.0,1160.0
2003.761,1229,2020-07-31,60.0,1172.0
2003.761,1229,2020-08-01,60.0,1176.0
2003.761,1229,2020-08-02,60.0,1282.0
2003.761,1229,2020-08-03,60.0,1634.0
2003.761,1229,2020-08-04,60.0,1328.0
2003.761,1229,2020-08-05,60.0,657.63
2003.761,1229,2020-08-06,60.0,1114.86
2003.761,1229,2020-08-07,60.0,1224.0
2003.761,1229,2020-08-08,60.0,1147.0
2003.761,1229,2020-08-09,60.0,1182.0
2003.761,1229,2020-08-10,60.0,1296.0
2003.761,1229,2020-08-11,60.0,1242.0
2003.761,1229,2020-08-12,60.0,1461.0
2003.761,1229,2020-08-13,60.0,1530.0
2003.761,1229,2020-08-14,60.0,1622.0
2003.761,1229,2020-08-15,60.0,1760.0
2003.761,1229,2020-08-16,60.0,1698.0
2003.761,1229,2020-08-17,60.0,1866.0
2003.761,1229,2020-08-18,60.0,1519.0
2003.761,1229,2020-08-19,60.0,1354.0
2003.761,1229,2020-08-20,60.0,1380.0
2003.761,1229,2020-08-21,60.0,1263.0
2003.761,1229,2020-08-22,60.0,1297.0
2003.761,1229,2020-08-23,60.0,1432.0
2003.761,1229,2020-08-24,60.0,1597.0
2003.761,1229,2020-08-25,60.0,1286.0
2003.761,1229,2020-08-26,60.0,1167.0
2003.761,1229,2020-08-27,60.0,1214.0
2003.761,1229,2020-08-28,60.0,1286.0
2003.761,1229,2020-08-29,60.0,1432.0
2003.761,1229,2020-08-30,60.0,1342.0
2003.761,1229,2020-08-31,60.0,1574.0
2003.761,1229,2020-09-01,60.0,1665.0
2003.761,1229,2020-09-02,60.0,1344.0
2003.761,1229,2020-09-03,60.0,1228.0
2003.761,1229,2020-09-04,60.0,1329.0
2003.761,1229,2020-09-05,60.0,1268.0
2003.761,1229,2020-09-06,60.0,1499.0
2003.761,1229,2020-09-07,60.0,1628.0
2003.761,1229,2020-09-08,60.0,1525.0
2003.761,1229,2020-09-09,60.0,1595.0
2003.761,1229,2020-09-10,60.0,1233.75
2003.761,1229,2020-09-13,60.0,1184.05699481865
2003.761,1229,2020-09-14,60.0,1504.0
2003.761,1229,2020-09-15,60.0,1408.0
2003.761,1229,2020-09-16,60.0,1154.0
2003.761,1229,2020-09-17,60.0,1238.0
2003.761,1229,2020-09-18,60.0,1298.0
2003.761,1229,2020-09-19,60.0,1337.0
2003.761,1229,2020-09-20,60.0,871.0
2003.761,1229,2020-09-21,60.0,730.0
2003.761,1229,2020-09-22,60.0,735.0
2003.761,1229,2020-09-23,60.0,769.0
2003.761,1229,2020-09-24,60.0,768.0
2003.761,1229,2020-09-25,60.0,766.0
2003.761,1229,2020-09-26,60.0,757.0
2003.761,1229,2020-09-27,60.0,1082.0
2003.761,1229,2020-09-28,60.0,952.02
2003.761,1229,2020-09-29,60.0,740.0
2003.761,1229,2020-09-30,60.0,739.0
2003.761,1229,2020-10-01,60.0,1030.0
2003.761,1229,2020-10-02,60.0,1032.0
2003.761,1229,2020-10-03,60.0,726.0
2003.761,1229,2020-10-04,60.0,783.0
2003.761,1229,2020-10-05,60.0,765.0
2003.761,1229,2020-10-06,60.0,788.0
2003.761,1229,2020-10-07,60.0,1120.36
2003.761,1229,2020-10-08,60.0,1102.27
2003.761,1229,2020-10-09,60.0,882.2
2003.761,1229,2020-10-10,60.0,1241.4
2003.761,1229,2020-10-11,60.0,932.2
2003.761,1229,2020-10-12,60.0,719.0
2003.761,1229,2020-10-13,60.0,804.8
2003.761,1229,2020-10-14,60.0,1000.2
2003.761,1229,2020-10-15,60.0,779.0
2003.761,1229,2020-10-17,60.0,1264.92577319588
2003.761,1229,2020-10-18,60.0,1192.2
2003.761,1229,2020-10-20,60.0,1359.51958762887
2003.761,1229,2020-10-21,60.0,1344.2
2003.761,1229,2020-10-22,60.0,1372.0
2003.761,1229,2020-10-23,60.0,1294.4
2003.761,1229,2020-10-24,60.0,1165.6
2003.761,1229,2020-10-25,60.0,1652.2
2003.761,1229,2020-10-26,60.0,1568.6
2003.761,1229,2020-10-27,60.0,895.2
2003.761,1229,2020-10-28,60.0,1011.4
2003.761,1229,2020-10-29,60.0,1171.0
2003.761,1229,2020-10-30,60.0,1339.4
2003.761,1229,2020-10-31,60.0,1175.6
2003.761,1229,2020-11-01,60.0,1039.4
2003.761,1229,2020-11-02,60.0,1273.4
2003.761,1229,2020-11-03,60.0,2030.2
2003.761,1229,2020-11-04,60.0,2020.0
2003.761,1229,2020-11-05,60.0,1711.6
2003.761,1229,2020-11-06,60.0,1498.8
2003.761,1229,2020-11-07,60.0,1804.22
2003.761,1229,2020-11-08,60.0,1591.0
2003.761,1229,2020-11-09,60.0,2023.4
2003.761,1229,2020-11-10,60.0,2346.2
2003.761,1229,2020-11-11,60.0,2783.6
2003.761,1229,2020-11-12,60.0,2422.4
2003.761,1229,2020-11-13,60.0,1857.8
2003.761,1229,2020-11-14,60.0,2283.8
2003.761,1229,2020-11-15,60.0,2537.4
2003.761,1229,2020-11-16,60.0,2677.8
2003.761,1229,2020-11-17,60.0,3234.0
2003.761,1229,2020-11-18,60.0,3993.6
2003.761,1229,2020-11-19,60.0,2465.4
2003.761,1229,2020-11-20,60.0,3199.8
2003.761,1229,2020-11-21,60.0,2253.0
2003.761,1229,2020-11-22,60.0,2016.4
2003.761,1229,2020-11-23,60.0,1831.4
2003.761,1229,2020-11-24,60.0,1861.0
2003.761,1229,2020-11-25,60.0,1515.0
2003.761,1229,2020-11-26,60.0,2756.8
2003.761,1229,2020-11-27,60.0,1866.8
2003.761,1229,2020-11-28,60.0,1617.0
2003.761,1229,2020-11-29,60.0,1493.0
2003.761,1229,2020-11-30,60.0,2464.4
2003.761,1229,2020-12-01,60.0,1414.08
2003.761,1229,2020-12-02,60.0,1455.94
2003.761,1229,2020-12-03,60.0,1502.2
2003.761,1229,2020-12-04,60.0,1460.0
2003.761,1229,2020-12-05,60.0,1426.0
2003.761,1229,2020-12-06,60.0,1484.6
2003.761,1229,2020-12-07,60.0,1514.6
2003.761,1229,2020-12-08,60.0,1458.4
2003.761,1229,2020-12-09,60.0,1835.6
2003.761,1229,2020-12-10,60.0,1708.8
2003.761,1229,2020-12-11,60.0,2495.2
2003.761,1229,2020-12-12,60.0,2252.2
2003.761,1229,2020-12-13,60.0,1660.6
2003.761,1229,2020-12-14,60.0,1607.2
2003.761,1229,2020-12-15,60.0,1647.8
2003.761,1229,2020-12-16,60.0,1551.0
2003.761,1229,2020-12-17,60.0,2625.6
2003.761,1229,2020-12-18,60.0,2142.2
